timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1448546699358,526,ListingPage,200,OK,Thread Group 1-5,text,true,10279,6,6,516
1448546699480,436,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,6,6,436
1448546699543,515,ListingPage,200,OK,Thread Group 1-3,text,true,10279,7,7,513
1448546699579,540,ListingPage,200,OK,Thread Group 1-6,text,true,10279,7,7,531
1448546699888,355,ListingFilterPAge,200,OK,Thread Group 1-5,text,true,1888,7,7,355
1448546699801,455,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,11947,7,7,455
1448546699788,485,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,7,7,484
1448546699919,564,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,7,7,552
1448546700063,484,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,7,7,484
1448546699989,617,HomePage,200,OK,Thread Group 1-7,text,true,9322,7,7,605
1448546700124,563,ListingFilterPAge,200,OK,Thread Group 1-6,text,true,1888,7,7,562
1448546700297,512,HomePage,200,OK,Thread Group 1-2,text,true,9322,7,7,496
1448546700296,521,HomePage,200,OK,Thread Group 1-4,text,true,9322,7,7,510
1448546700246,618,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,11947,7,7,591
1448546700513,439,HomePage,200,OK,Thread Group 1-1,text,true,9322,7,7,435
1448546700551,447,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,7,7,430
1448546700690,482,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,11947,7,7,473
1448546700611,587,ListingPage,200,OK,Thread Group 1-7,text,true,10279,7,7,582
1448546700885,477,HomePage,200,OK,Thread Group 1-5,text,true,9322,7,7,475
1448546700813,622,ListingPage,200,OK,Thread Group 1-2,text,true,10279,7,7,621
1448546700821,629,ListingPage,200,OK,Thread Group 1-4,text,true,10279,7,7,627
1448546701027,480,HomePage,200,OK,Thread Group 1-3,text,true,9322,7,7,479
1448546700956,592,ListingPage,200,OK,Thread Group 1-1,text,true,10279,7,7,584
1448546701202,360,ListingFilterPAge,200,OK,Thread Group 1-7,text,true,1888,7,7,360
1448546701201,424,HomePage,200,OK,Thread Group 1-6,text,true,9322,7,7,423
1448546701439,438,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,7,7,438
1448546701551,596,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,7,7,596
1448546701454,725,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,7,7,725
1448546701365,846,ListingPage,200,OK,Thread Group 1-5,text,true,10279,7,7,844
1448546701565,741,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,11947,7,7,739
