label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,Latency
Honor 5X Details ,200,OK,Thread Group 1-4,true,42,42,229
Country Select,200,OK,Thread Group 1-40,true,42,42,366
Honor 5X Details ,200,OK,Thread Group 1-14,true,42,42,208
Honor 5X Details ,200,OK,Thread Group 1-2,true,42,42,348
Country Select,200,OK,Thread Group 1-24,true,42,42,85
UK Page,200,OK,Thread Group 1-15,true,42,42,173
Country Select,200,OK,Thread Group 1-5,true,42,42,99
AddToBasketPage,200,OK,Thread Group 1-32,true,43,43,119
UK Page,200,OK,Thread Group 1-25,true,42,42,265
UK Page,200,OK,Thread Group 1-5,true,43,43,252
BasketPage,200,OK,Thread Group 1-10,true,43,43,161
UK Page,200,OK,Thread Group 1-39,true,43,43,308
Honor 5X Details ,200,OK,Thread Group 1-15,true,43,43,232
UK Page,200,OK,Thread Group 1-38,true,43,43,356
UK Page,200,OK,Thread Group 1-40,true,43,43,258
Country Select,200,OK,Thread Group 1-41,true,43,43,551
Honor 5X Details ,200,OK,Thread Group 1-13,true,43,43,340
UK Page,200,OK,Thread Group 1-24,true,43,43,262
UK Page,200,OK,Thread Group 1-23,true,43,43,267
UK Page,200,OK,Thread Group 1-16,true,43,43,329
UK Page,200,OK,Thread Group 1-8,true,43,43,393
BasketPage,200,OK,Thread Group 1-18,true,43,43,129
AddToBasketPage,200,OK,Thread Group 1-30,true,43,43,111
Chekout-Auth,200,OK,Thread Group 1-9,true,43,43,104
BasketPage,200,OK,Thread Group 1-6,true,43,43,134
AddToBasketPage,200,OK,Thread Group 1-29,true,44,44,117
BasketPage,200,OK,Thread Group 1-28,true,44,44,156
Honor 5X Details ,200,OK,Thread Group 1-36,true,44,44,354
AddToBasketPage,200,OK,Thread Group 1-19,true,44,44,92
AddToBasketPage,200,OK,Thread Group 1-21,true,44,44,109
Honor 5X Details ,200,OK,Thread Group 1-31,true,44,44,375
Honor 5X Details ,200,OK,Thread Group 1-37,true,44,44,296
AddToBasketPage,200,OK,Thread Group 1-22,true,44,44,124
UK Page,200,OK,Thread Group 1-7,true,44,44,481
BasketPage,200,OK,Thread Group 1-26,true,44,44,150
Honor 5X Details ,200,OK,Thread Group 1-3,true,44,44,114
Chekout-Auth,200,OK,Thread Group 1-11,true,44,44,146
Honor 5X Details ,200,OK,Thread Group 1-20,true,44,44,346
